"SPC","ABBREV","SPC_NMCO","SPC_NMSC","SPC_NMFAM","SPC_LAB","SPECIES_AT_RISK","FLEN_MIN","FLEN_MAX","TLEN_MIN","TLEN_MAX","RWT_MIN","RWT_MAX","K_MIN_ERROR","K_MIN_WARN","K_MAX_ERROR","K_MAX_WARN","FLEN2TLEN_ALPHA","FLEN2TLEN_BETA"
"335",,"Eastern Sand Darter","Ammocrypta pellucida","PERCIDAE","ESDar",TRUE,15,84,15,84,0.1,5,0.05,0.1,1.66,1.47,0,1
"336",,"Greenside Darter","Etheostoma blennioides","PERCIDAE","GsDar",FALSE,28,103,28,103,0.2,11,0.05,0.1,2.43,2.09,0,1
"337",,"Rainbow Darter","Etheostoma caeruleum","PERCIDAE","RaDar",FALSE,35,61,35,61,0.2,3,0.05,0.1,2.43,2.09,0,1
"338",,"Iowa Darter","Etheostoma exile","PERCIDAE","IoDar",FALSE,28,61,28,61,0.2,2,0.05,0.1,2.43,2.09,0,1
"339",,"Fantail Darter","Etheostoma flabellare","PERCIDAE","FtDar",FALSE,25,82,25,82,0.2,2,0.05,0.1,2.43,2.09,0,1
"340",,"Least Darter","Etheostoma microperca","PERCIDAE","LeDar",FALSE,15,42,15,42,0.2,1,0.05,0.1,2.43,2.09,0,1
"341",,"Johnny Darter","Etheostoma nigrum","PERCIDAE","JoDar",FALSE,15,82,15,82,0.2,5,0.05,0.1,2.43,2.09,0,1
"342",,"Logperch","Percina caprodes","PERCIDAE","Logpe",FALSE,31,127,32,130,0.3,12,0.08,0.26,1.66,1.47,0.349,1.01812
"343",,"Channel Darter","Percina copelandi","PERCIDAE","ChDar",TRUE,31,73,32,75,0.3,3,0.08,0.26,1.66,1.47,0.349,1.01812
"344",,"Blackside Darter","Percina maculata","PERCIDAE","BsDar",FALSE,31,99,32,101,0.3,8,0.08,0.26,1.66,1.47,0.349,1.01812
"345",,"River Darter","Percina shumardi","PERCIDAE","RiDar",TRUE,31,76,32,78,0.3,4,0.08,0.26,1.66,1.47,0.349,1.01812
"346",,"Tessellated Darter","Etheostoma olmstedi","PERCIDAE","TeDar",FALSE,15,82,17,82,0.2,5,0.05,0.1,2.43,2.09,0,1
"347",,"Sander sp.","Sander sp.","PERCIDAE","StiSp",FALSE,52,830,55,883,1,8100,0.36,0.51,2.09,1.91,3.64915,1.05276
"348",,"Etheostoma sp.","Etheostoma sp.","PERCIDAE","EthSp",FALSE,15,103,15,103,0.2,3,0.05,0.1,2.43,2.09,0,1
"349",,"Percina sp.","Percina sp.","PERCIDAE","PerSp",FALSE,31,127,32,130,0.3,12,0.08,0.26,1.66,1.47,0.349,1.01812
"350",,"Ruffe","Gymnocephalus cernuus","PERCIDAE","Ruffe",FALSE,40,185,50,193,15,72,0.68,0.83,2.41,2.21,8.4919,1.00193
"360",,"New World Silverside Family","Atherinopsidae","ATHERINOPSIDAE","SILVE",FALSE,30,91,32,98,1,4,0.05,0.1,1.72,1.46,0.09515,1.05143
"361",,"Brook Silverside","Labidesthes sicculus","ATHERINIDAE","BrSil",FALSE,30,91,32,98,1,4,0.05,0.1,1.72,1.46,0.09515,1.05143
"365",,"Goby Family","Gobiidae","GOBIIDAE","GOBIE",FALSE,5,215,5,215,0.1,170,0.52,0.73,2.27,2.02,0,1
"366",,"Round Goby","Neogobius melanostomus","GOBIIDAE","RoGob",FALSE,5,215,5,215,0.1,170,0.52,0.73,2.27,2.02,0,1
"367",,"Freshwater Tubenose Goby","Proterorhinus semilunaris","GOBIIDAE","TnGob",FALSE,26,85,26,85,0.1,8,0.52,0.73,2.27,2.02,0,1
"370",,"Drum Family","Sciaenidae","SCIAENIDAE","DRUMS",FALSE,21,635,21,635,1,4604,0.56,0.71,1.84,1.69,0,1
